NCAA name,School,Conference,Division,Fall/2025 Roster,2025 Schedule,ScheduleLink,RosterLink,BaseURL,URL,Last Checked Roster,Last Checked Schedule,Site,YesBoth,YesRost,YesSked,No,images,color,record,ovr_win_pct,ovr_strk,conference_record,conf_win_pct,conf_strk,conf_image,notes,op,pp,prod
Clark Atlanta,Clark Atlanta,SIAC,NA,No,Yes,https://clarkatlantasports.com/sports/baseball/schedule/2025,https://clarkatlantasports.com/sports/baseball/roster/2025,https://clarkatlantasports.com/sports/baseball,https://clarkatlantasports.com,2025-01-10T00:00:00Z,2025-01-07T00:00:00Z,Sidearm,0,0,1,0,https://clarkatlantasports.com/images/logos/site/site.png?width=600,#cd0200,11-34,0.244,L1,7-26,0.212,L1,https://thesiac.com/images/logos/site/site.png?width=600,NA,NA,NA,NA
Coker,Coker,SAC,NA,Yes,Yes,https://www.cokercobras.com/sports/bsb/2024-25/schedule,https://www.cokercobras.com/sports/bsb/2024-25/roster,https://www.cokercobras.com/sports/bsb,https://www.cokercobras.com,2024-11-01T00:00:00Z,2024-11-01T00:00:00Z,Presto,1,0,0,0,https://cdn.usteamcolors.com/images/ncaa/division-2/coker-cobras-logo.png,#104076,31-20,0.608,L2,19-9,0.679,L2,https://cdn.usteamcolors.com/images/ncaa/conferences/south-atlantic-conference-logo.png,SAC Tournament Appearance,83.6,58.1,73.6
Colo. Christian,Colorado Christian,RMAC,NA,Yes,Yes,https://ccucougars.com/sports/baseball/schedule/2025,https://ccucougars.com/sports/baseball/roster/2025,https://ccucougars.com/sports/baseball,https://ccucougars.com,2024-11-01T00:00:00Z,2024-11-01T00:00:00Z,Sidearm,1,0,0,0,https://ccucougars.com/images/logos/site/site.png?width=600,#031931,8-41,0.163,L2,6-26,0.188,L2,https://rmacsports.org/images/logos/site/site.png?width=600,NA,17.2,40.6,26.200000000000003
Colorado Mesa,Colorado Mesa,RMAC,NA,Yes,Yes,https://cmumavericks.com/sports/baseball/schedule/2025,https://cmumavericks.com/sports/baseball/roster/2025,https://cmumavericks.com/sports/baseball,https://cmumavericks.com,2024-11-01T00:00:00Z,2024-11-01T00:00:00Z,Sidearm,1,0,0,0,https://cmumavericks.com/images/logos/site/site.png?width=600,#54001f,38-18,0.679,L2,24-8,0.75,W4,https://rmacsports.org/images/logos/site/site.png?width=600,RMAC Regular Season and Tournament Champions; South Central Regional Host,65,94.6,75.8
Colo. Sch. of Mines,Colorado School of Mines,RMAC,NA,Yes,Yes,https://minesathletics.com/sports/baseball/schedule/2025,https://minesathletics.com/sports/baseball/roster/2025,https://minesathletics.com/sports/baseball,https://minesathletics.com,2024-11-01T00:00:00Z,2024-11-01T00:00:00Z,Sidearm,1,0,0,0,https://minesathletics.com/images/logos/site/site.png?width=600,#21314d,29-21,0.58,L2,20-12,0.625,L2,https://rmacsports.org/images/logos/site/site.png?width=600,RMAC Tournament Appearance,69.69999999999999,41.9,59.3
CSU Pueblo,Colorado State Pueblo,RMAC,NA,Yes,Yes,https://gothunderwolves.com/sports/baseball/schedule/2025,https://gothunderwolves.com/sports/baseball/roster/2025,https://gothunderwolves.com/sports/baseball,https://gothunderwolves.com,2024-10-17T00:00:00Z,2024-10-17T00:00:00Z,Sidearm,1,0,0,0,https://gothunderwolves.com/images/logos/site/site.png?width=600,#002664,29-23,0.558,L1,17-15,0.531,L1,https://rmacsports.org/images/logos/site/site.png?width=600,RMAC Tournament Appearance,73,63.7,69.5
Columbus St.,Columbus State,Peach Belt,NA,Yes,Yes,https://csucougars.com/sports/baseball/schedule/2025,https://csucougars.com/sports/baseball/roster/2025,https://csucougars.com/sports/baseball,https://csucougars.com,2024-11-01T00:00:00Z,2024-11-01T00:00:00Z,Sidearm,1,0,0,0,https://csucougars.com/images/logos/site/site.png?width=600,#003057,33-21,0.611,L1,17-10,0.63,L1,https://peachbeltconference.org/images/logos/site/site.png?width=600,Peach Belt Tournament Appearance,47.699999999999996,51.2,49
Concord,Concord,MEC,South,No,Yes,https://cumountainlions.com/sports/baseball/schedule/2025,https://cumountainlions.com/sports/baseball/roster/2025,https://cumountainlions.com/sports/baseball,https://cumountainlions.com,2024-12-30T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,0,0,1,0,https://cumountainlions.com/images/logos/site/site.png?width=600,#872436,26-20,0.565,L2,16-14,0.533,L2,https://mountaineast.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
CUI,Concordia Irvine,PacWest,NA,Yes,Yes,https://cuigoldeneagles.com/sports/baseball/schedule/2025,https://cuigoldeneagles.com/sports/baseball/roster/2025,https://cuigoldeneagles.com/sports/baseball,https://cuigoldeneagles.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://cuigoldeneagles.com/images/logos/site/site.png?width=600,#004c23,25-22,0.532,L2,18-16,0.529,L2,https://thepacwest.com/images/logos/site/site.png?width=600,PacWest Tournament Appearance,67.9,64.3,66.5
Concordia-St. Paul,Concordia-St. Paul,NSIC,NA,Yes,Yes,https://cspbears.com/sports/baseball/schedule/2025,https://cspbears.com/sports/baseball/roster/2025,https://cspbears.com/sports/baseball,https://cspbears.com,2024-11-02T00:00:00Z,2025-01-03T00:00:00Z,Sidearm,1,0,0,0,https://cspbears.com/images/logos/site/site.png?width=600,#002c5f,29-22,0.569,L1,19-19,0.5,L1,https://northernsun.org/images/logos/site/site.png?width=600,NSIC Tournament Appearance,24.8,51.9,34.8
D'Youville,D'Youville,ECC,NA,Yes,Yes,https://dyusaints.com/sports/baseball/schedule/2025,https://dyusaints.com/sports/baseball/roster/2025,https://dyusaints.com/sports/baseball,https://dyusaints.com,2024-12-19T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,1,0,0,0,https://dyusaints.com/images/logos/site/site.png?width=600,#b1181e,31-20,0.608,L1,18-7,0.72,L1,https://eccsports.org/images/logos/site/site.png?width=600,ECC Regular Season Champions,48.9,79.6,60.6
Davenport,Davenport,GLIAC,NA,Yes,Yes,https://dupanthers.com/sports/baseball/schedule/2025,https://dupanthers.com/sports/baseball/roster/2025,https://dupanthers.com/sports/baseball,https://dupanthers.com,2024-11-19T00:00:00Z,2024-11-02T00:00:00Z,Sidearm,1,0,0,0,https://dupanthers.com/images/logos/site/site.png?width=600,#ed1c24,20-34,0.37,L2,13-17,0.433,L2,https://cdn.usteamcolors.com/images/ncaa/conferences/great-lakes-intercollegiate-athletic-conference-logo.png,GLIAC Tournament Appearance,46.1,21.3,36.6
Davis & Elkins,Davis & Elkins,MEC,South,Yes,Yes,https://senatornation.com/sports/baseball/schedule/2025,https://senatornation.com/sports/baseball/roster/2025,https://senatornation.com/sports/baseball,https://senatornation.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://senatornation.com/images/logos/site/site.png?width=600,#c01e22,1-48,0.02,L1,1-28,0.034,L1,https://mountaineast.org/images/logos/site/site.png?width=600,NA,69.89999999999999,45.2,60.4
Delta St.,Delta State,Gulf South,NA,Yes,Yes,https://gostatesmen.com/sports/baseball/schedule/2025,https://gostatesmen.com/sports/baseball/roster/2025,https://gostatesmen.com/sports/baseball,https://gostatesmen.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://gostatesmen.com/images/logos/site/site.png?width=600,#008751,33-24,0.579,L1,19-11,0.633,L2,https://gscsports.org/images/logos/site/site.png?width=600,South Regional Appearance,61.8,74.9,66.9
Dominican (NY),Dominican,CACC,North,No,No,https://www.chargerathletics.com/sports/bsb/2024-25/schedule,https://www.chargerathletics.com/sports/bsb/2024-25/roster,https://www.chargerathletics.com/sports/bsb,https://www.chargerathletics.com,2024-12-30T00:00:00Z,2024-12-30T00:00:00Z,Presto,0,0,0,1,https://cdn.usteamcolors.com/images/ncaa/division-2/dominican-chargers-logo.png,#231F20,14-33,0.298,W1,7-16,0.304,L4,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,NA,NA,NA,NA
Drury,Drury,GLVC,NA,Yes,Yes,https://drurypanthers.com/sports/baseball/schedule/2025,https://drurypanthers.com/sports/baseball/roster/2025,https://drurypanthers.com/sports/baseball,https://drurypanthers.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://drurypanthers.com/images/logos/site/site.png?width=600,#ae1616,27-25,0.519,L1,23-13,0.639,L1,https://glvcsports.com/images/logos/site/site.png?width=600,GLVC Tournament Appearance,32.7,66,45.7
East Central,East Central,GAC,NA,No,Yes,https://ecutigers.com/sports/baseball/schedule/2025,https://ecutigers.com/sports/baseball/roster/2025,https://ecutigers.com/sports/baseball,https://ecutigers.com,2024-12-30T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,0,0,1,0,https://ecutigers.com/images/logos/site/site.png?width=600,#ff5200,9-41,0.18,L1,6-28,0.176,L1,https://greatamericanconference.com/images/logos/site/site.png?width=600,NA,NA,NA,NA
East Stroudsburg,East Stroudsburg,PSAC,East,No,Yes,https://esuwarriors.com/sports/baseball/schedule/2025,https://esuwarriors.com/sports/baseball/roster/2025,https://esuwarriors.com/sports/baseball,https://esuwarriors.com,2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,Sidearm,0,0,1,0,https://esuwarriors.com/images/logos/site/site.png?width=600,#db0436,43-14,0.754,L2,26-6,0.813,L2,https://psacsports.org/images/logos/site/site.png?width=600,PSAC East Regular Season Champions; Atlantic Regional Host,NA,NA,NA
Eastern N.M.,Eastern New Mexico,Lone Star,NA,Yes,Yes,https://goeasternathletics.com/sports/baseball/schedule/2025,https://goeasternathletics.com/sports/baseball/roster/2025,https://goeasternathletics.com/sports/baseball,https://goeasternathletics.com,2024-12-30T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,1,0,0,0,https://goeasternathletics.com/images/logos/site/site.png?width=600,#037042,21-29,0.42,L4,19-29,0.396,L4,https://lonestarconference.org/images/logos/site/site.png?width=600,NA,73.3,64.9,70.2
Eckerd,Eckerd,Sunshine State,NA,Yes,Yes,https://eckerdtritons.com/sports/baseball/schedule/2025,https://eckerdtritons.com/sports/baseball/roster/2025,https://eckerdtritons.com/sports/baseball,https://eckerdtritons.com,2024-11-04T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,1,0,0,0,https://eckerdtritons.com/images/logos/site/site.png?width=600,#007583,18-31,0.367,W1,6-24,0.2,W1,https://sunshinestateconference.com/images/logos/site/site.png?width=600,NA,30.5,40.6,34.4
Edward Waters,Edward Waters,SIAC,NA,No,Yes,https://ewutigerpride.com/sports/baseball/schedule/2025,https://ewutigerpride.com/sports/baseball/roster/2025,https://ewutigerpride.com/sports/baseball,https://ewutigerpride.com,2024-12-30T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,0,0,1,0,https://ewutigerpride.com/images/logos/site/site.png?width=600,#ff671d,31-19,0.62,L1,21-11,0.656,L3,https://thesiac.com/images/logos/site/site.png?width=600,SIAC Tournament Champions,NA,NA,NA
Embry-Riddle (FL),Embry-Riddle,Sunshine State,NA,Yes,Yes,https://erauathletics.com/sports/baseball/schedule/2025,https://erauathletics.com/sports/baseball/roster/2025,https://erauathletics.com/sports/baseball,https://erauathletics.com,2024-09-20T00:00:00Z,2024-09-20T00:00:00Z,Sidearm,1,0,0,0,https://erauathletics.com/images/logos/site/site.png?width=600,#00387e,35-22,0.614,L2,18-13,0.581,L2,https://sunshinestateconference.com/images/logos/site/site.png?width=600,South Super Regional Appearance,30.7,73.7,47.4
Emmanuel (GA),Emmanuel,Conference Carolinas,NA,Yes,Yes,http://goeclions.com/sports/baseball/schedule/2025,http://goeclions.com/sports/baseball/roster/2025,http://goeclions.com/sports/baseball,http://goeclions.com,2024-12-18T00:00:00Z,2024-12-18T00:00:00Z,Sidearm,1,0,0,0,http://goeclions.com/images/logos/site/site.png?width=600,#132e52,30-22,0.577,L2,18-12,0.6,L2,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/swuathletics.com/images/responsive_2020/logo_footer_conference-carolina.png,Conference Carolinas Tournament Appearance,62.7,70.2,65.6
Emory & Henry,Emory & Henry,SAC,NA,No,Yes,https://www.gowasps.com/sports/bsb/2024-25/schedule,https://www.gowasps.com/sports/bsb/2024-25/roster,https://www.gowasps.com/sports/bsb,https://www.gowasps.com,2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,Presto,0,0,1,0,https://www.thesac.com/images2023/logos/Emory_-_Henry.png,#1e376d,11-38,0.224,L3,6-24,0.2,L4,https://cdn.usteamcolors.com/images/ncaa/conferences/south-atlantic-conference-logo.png,NA,NA,NA,NA
Emporia St.,Emporia State,MIAA,NA,Yes,Yes,https://esuhornets.com/sports/baseball/schedule/2025,https://esuhornets.com/sports/baseball/roster/2025,https://esuhornets.com/sports/baseball,https://esuhornets.com,2024-11-04T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,1,0,0,0,https://esuhornets.com/images/logos/site/site.png?width=600,#bb8d0a,21-29,0.42,L1,12-22,0.353,L1,https://themiaa.com/images/logos/site/site.png?width=600,NA,33.1,66.3,45.7
Erskine,Erskine,Conference Carolinas,NA,Yes,Yes,https://erskinesports.com/sports/baseball/schedule/2025,https://erskinesports.com/sports/baseball/roster/2025,https://erskinesports.com/sports/baseball,https://erskinesports.com,2024-12-18T00:00:00Z,2024-12-18T00:00:00Z,Sidearm,1,0,0,0,https://erskinesports.com/images/logos/site/site.png?width=600,#6f1931,28-26,0.519,L1,15-14,0.517,L1,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/swuathletics.com/images/responsive_2020/logo_footer_conference-carolina.png,Conference Carolinas Tournament Appearance,33.2,56.5,42
Fairmont St.,Fairmont State,MEC,North,No,Yes,https://fightingfalcons.com/sports/baseball/schedule/2025,https://fightingfalcons.com/sports/baseball/roster/2025,https://fightingfalcons.com/sports/baseball,https://fightingfalcons.com,2024-12-30T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,0,0,1,0,https://fightingfalcons.com/images/logos/site/site.png?width=600,#860038,20-29,0.408,L2,16-12,0.571,L2,https://mountaineast.org/images/logos/site/site.png?width=600,MEC Tournament Appearance,NA,NA,NA
Felician,Felician,CACC,North,No,Yes,https://felicianuathletics.com/sports/baseball/schedule,https://felicianuathletics.com/sports/baseball/roster/2025,https://felicianuathletics.com/sports/baseball,https://felicianuathletics.com,2024-12-30T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,0,0,1,0,https://felicianuathletics.com/images/logos/site/site.png?width=600,#203104,29-23,0.558,L2,14-8,0.636,L2,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,CACC Tournament Appearance,NA,NA,NA
Findlay,Findlay,G-MAC,NA,Yes,Yes,https://findlayoilers.com/sports/baseball/schedule,https://findlayoilers.com/sports/baseball/roster/2025,https://findlayoilers.com/sports/baseball,https://findlayoilers.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://findlayoilers.com/images/logos/site/site.png?width=600,#ff8300,28-22,0.56,L2,21-11,0.656,L2,https://greatmidwestsports.com/images/logos/site/site.png?width=600,G-MAC Tournament Appearance,46.5,88.2,62
Flagler,Flagler,Peach Belt,NA,Yes,Yes,https://flaglerathletics.com/sports/baseball/schedule/2025,https://flaglerathletics.com/sports/baseball/roster/2025,https://flaglerathletics.com/sports/baseball,https://flaglerathletics.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://flaglerathletics.com/images/logos/site/site.png?width=600,#a4343a,29-24,0.547,L2,15-11,0.577,L2,https://peachbeltconference.org/images/logos/site/site.png?width=600,Peach Belt Tournament Appearance,49.7,93.30000000000001,66.8
Fla. Southern,Florida Southern,Sunshine State,NA,Yes,Yes,https://fscmocs.com/sports/baseball/schedule/2025,https://fscmocs.com/sports/baseball/roster/2025,https://fscmocs.com/sports/baseball,https://fscmocs.com,2024-11-04T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,1,0,0,0,https://fscmocs.com/images/logos/site/site.png?width=600,#cf102d,18-30,0.375,W3,12-18,0.4,W3,https://sunshinestateconference.com/images/logos/site/site.png?width=600,NA,50.7,52.400000000000006,51.4
Florida Tech,Florida Tech,Sunshine State,NA,Yes,No,https://floridatechsports.com/sports/baseball/schedule/2025,https://floridatechsports.com/sports/baseball/roster/2025,https://floridatechsports.com/sports/baseball,https://floridatechsports.com,2024-11-04T00:00:00Z,2025-01-07T00:00:00Z,Sidearm,0,1,0,0,https://floridatechsports.com/images/logos/site/site.png?width=600,#630c0d,17-33,0.34,L6,8-23,0.258,L6,https://sunshinestateconference.com/images/logos/site/site.png?width=600,NA,62.1,69.6,65
Fort Hays St.,Fort Hays State,MIAA,NA,Yes,Yes,https://fhsuathletics.com/sports/baseball/schedule/2025,https://fhsuathletics.com/sports/baseball/roster/2025,https://fhsuathletics.com/sports/baseball,https://fhsuathletics.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://fhsuathletics.com/images/logos/site/site.png?width=600,#d09401,25-26,0.49,L4,12-21,0.364,L4,https://themiaa.com/images/logos/site/site.png?width=600,MIAA Tournament Appearance,92,78.8,86.9
Francis Marion,Francis Marion,Conference Carolinas,NA,Yes,Yes,https://fmupatriots.com/sports/baseball/schedule/2025,https://fmupatriots.com/sports/baseball/roster/2025,https://fmupatriots.com/sports/baseball,https://fmupatriots.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://fmupatriots.com/images/logos/site/site.png?width=600,#002867,18-30,0.375,L2,9-21,0.3,L2,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/swuathletics.com/images/responsive_2020/logo_footer_conference-carolina.png,Conference Carolinas Tournament Appearance,39.7,40.2,39.900000000000006
Franklin Pierce,Franklin Pierce,NE10,Northeast,No,No,https://www.fpuravens.com/sports/bsb/2024-25/schedule,https://www.fpuravens.com/sports/bsb/2024-25/roster,https://www.fpuravens.com/sports/bsb,https://www.fpuravens.com,2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,Presto,0,0,0,1,https://www.fpuravens.com/images/logo.png,#6A142C,28-20,0.583,L4,21-9,0.7,L3,https://northeast10.org/images/logos/site/site.png?width=600,East Regional Appearance,NA,NA,NA
Fresno Pacific,Fresno Pacific,PacWest,NA,No,Yes,https://www.fpuathletics.com/sports/baseball/schedule/2025,https://www.fpuathletics.com/sports/baseball/roster/2025,https://www.fpuathletics.com/sports/baseball,https://www.fpuathletics.com,2025-01-07T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,0,0,1,0,https://www.fpuathletics.com/images/logos/site/site.png?width=600,#00205b,21-25,0.457,W1,12-20,0.375,W1,https://thepacwest.com/images/logos/site/site.png?width=600,NA,NA,NA,NA
Frostburg St.,Frostburg State,MEC,North,Yes,Yes,https://frostburgsports.com/sports/baseball/schedule/2025,https://frostburgsports.com/sports/baseball/roster/2025,https://frostburgsports.com/sports/baseball,https://frostburgsports.com,2025-01-07T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://frostburgsports.com/images/logos/site/site.png?width=600,#b21917,37-16,0.698,L3,24-4,0.857,L1,https://mountaineast.org/images/logos/site/site.png?width=600,MEC North Regular Season Champions; Atlantic Regional Appearance,70.9,62.4,67.7
Gannon,Gannon,PSAC,West,Yes,Yes,https://gannonsports.com/sports/baseball/schedule/2025,https://gannonsports.com/sports/baseball/roster/2025,https://gannonsports.com/sports/baseball,https://gannonsports.com,2024-11-24T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://gannonsports.com/images/logos/site/site.png?width=600,#B20D35,11-34,0.244,L1,7-21,0.25,L1,https://psacsports.org/images/logos/site/site.png?width=600,NA,66.1,69.3,67.3
Georgia College,Georgia College,Peach Belt,NA,Yes,Yes,https://gcsubobcats.com/sports/baseball/schedule/2025,https://gcsubobcats.com/sports/baseball/roster/2025,https://gcsubobcats.com/sports/baseball,https://gcsubobcats.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://gcsubobcats.com/images/logos/site/site.png?width=600,#005028,37-22,0.627,L2,18-9,0.667,W5,https://peachbeltconference.org/images/logos/site/site.png?width=600,Peach Belt Tournament Champions; Southeast Super Regional Appearance,64.2,81.2,70.7
Ga. Southwestern,Georgia Southwestern,Peach Belt,NA,Yes,Yes,https://www.gswcanes.com/sports/bsb/2024-25/schedule,https://www.gswcanes.com/sports/bsb/2024-25/roster,https://www.gswcanes.com/sports/bsb,https://www.gswcanes.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Presto,1,0,0,0,https://cdn.usteamcolors.com/images/ncaa/division-2/georgia-southwestern-state-hurricanes-logo.png,#173A79,35-18,0.66,L1,16-11,0.593,L1,https://peachbeltconference.org/images/logos/site/site.png?width=600,Peach Belt Tournament Appearance,61.9,19.8,46.1
Georgian Court,Georgian Court,CACC,North,Yes,No,https://gculions.com/sports/baseball/schedule/2025,https://gculions.com/sports/baseball/roster,https://gculions.com/sports/baseball,https://gculions.com/,2024-12-19T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,0,1,0,0,https://gculions.com/images/logos/site/site.png?width=600,#1A529F,NA,0,NA,NA,0,NA,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,1st Season as a Baseball Program,0,0,0
Glenville St.,Glenville State,MEC,South,No,Yes,https://gscpioneers.com/sports/baseball/schedule/2025,https://gscpioneers.com/sports/baseball/roster/2025,https://gscpioneers.com/sports/baseball,https://gscpioneers.com,2025-01-07T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,0,0,1,0,https://gscpioneers.com/images/logos/site/site.png?width=600,#002f6d,28-21,0.571,L2,21-9,0.7,L2,https://mountaineast.org/images/logos/site/site.png?width=600,MEC Tournament Appearance,NA,NA,NA
Goldey-Beacom,Goldey-Beacom,CACC,South,Yes,Yes,https://www.gbcathletics.com/sports/baseball/schedule/2025,https://www.gbcathletics.com/sports/baseball/roster/2025,https://www.gbcathletics.com/sports/baseball,https://www.gbcathletics.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://www.gbcathletics.com/images/logos/site/site.png?width=600,#002b5c,34-21,0.618,L2,15-9,0.625,W1,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,East Regional Appearance,55.60000000000001,62.4,58.199999999999996
Grand Valley St.,Grand Valley State,GLIAC,NA,Yes,Yes,https://gvsulakers.com/sports/baseball/schedule/2025,https://gvsulakers.com/sports/baseball/roster/2025,https://gvsulakers.com/sports/baseball,https://gvsulakers.com,2024-12-30T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://gvsulakers.com/images/logos/site/site.png?width=600,#0033a0,30-25,0.545,L2,18-12,0.6,W8,https://cdn.usteamcolors.com/images/ncaa/conferences/great-lakes-intercollegiate-athletic-conference-logo.png,GLIAC Tournament Champions; Midwest Regional Appearance,22.2,30.1,25.3
Harding,Harding,GAC,NA,Yes,Yes,https://hardingsports.com/sports/baseball/schedule/2025,https://hardingsports.com/sports/baseball/roster/2025,https://hardingsports.com/sports/baseball,https://hardingsports.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://hardingsports.com/images/logos/site/site.png?width=600,#a28448,37-19,0.661,L1,23-10,0.697,W1,https://greatamericanconference.com/images/logos/site/site.png?width=600,GAC Regular Season Champions; Central Regional Appearance,79.4,69.3,75.4
Hawaii Hilo,Hawaii Hilo,PacWest,NA,No,Yes,https://hiloathletics.com/sports/baseball/schedule/2025,https://hiloathletics.com/sports/baseball/roster/2025,https://hiloathletics.com/sports/baseball,https://hiloathletics.com,2025-01-07T00:00:00Z,2025-01-03T00:00:00Z,Sidearm,0,0,1,0,https://hiloathletics.com/images/logos/site/site.png?width=600,#ed2c23,19-31,0.38,L3,11-21,0.344,L2,https://thepacwest.com/images/logos/site/site.png?width=600,NA,NA,NA,NA
Hawaii Pacific,Hawaii Pacific,PacWest,NA,Yes,Yes,https://hpusharks.com/sports/baseball/schedule/2025,https://hpusharks.com/sports/baseball/roster/2025,https://hpusharks.com/sports/baseball,https://hpusharks.com,2024-11-04T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://hpusharks.com/images/logos/site/site.png?width=600,#007298,30-22,0.577,L2,17-15,0.531,L2,https://thepacwest.com/images/logos/site/site.png?width=600,PacWest Tournament Appearance,40.699999999999996,51.1,44.7
Henderson St.,Henderson State,GAC,NA,No,Yes,https://hsusports.com/sports/baseball/schedule/2025,https://hsusports.com/sports/baseball/roster/2025,https://hsusports.com/sports/baseball,https://hsusports.com,2025-01-07T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,0,0,1,0,https://hsusports.com/images/logos/site/site.png?width=600,#7a0026,27-23,0.54,L2,20-13,0.606,L2,https://greatamericanconference.com/images/logos/site/site.png?width=600,GAC Tournament Appearance,NA,NA,NA
Hillsdale,Hillsdale,G-MAC,NA,Yes,Yes,https://hillsdalechargers.com/sports/baseball/schedule/2025,https://hillsdalechargers.com/sports/baseball/roster/2025,https://hillsdalechargers.com/sports/baseball,https://hillsdalechargers.com,2024-11-24T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://hillsdalechargers.com/images/logos/site/site.png?width=600,#091633,21-28,0.429,L1,15-17,0.469,L1,https://greatmidwestsports.com/images/logos/site/site.png?width=600,NA,45.7,39.1,43.1
Holy Family,Holy Family,CACC,South,No,Yes,https://athletics.holyfamily.edu/sports/baseball/schedule/2025,https://athletics.holyfamily.edu/sports/baseball/roster/2025,https://athletics.holyfamily.edu/sports/baseball,https://athletics.holyfamily.edu,2024-12-30T00:00:00Z,2025-01-07T00:00:00Z,Sidearm,0,0,1,0,https://athletics.holyfamily.edu/images/logos/site/site.png?width=600,#00aeff,18-27,0.4,L1,9-13,0.409,L5,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,First Season as a Division II Program,NA,NA,NA
Ill. Springfield,Illinois Springfield,GLVC,NA,Yes,Yes,https://uisprairiestars.com/sports/baseball/schedule/2025,https://uisprairiestars.com/sports/baseball/roster/2025,https://uisprairiestars.com/sports/baseball,https://uisprairiestars.com,2024-11-04T00:00:00Z,2024-11-24T00:00:00Z,Sidearm,1,0,0,0,https://uisprairiestars.com/images/logos/site/site.png?width=600,#002a5c,26-23,0.531,L4,17-19,0.472,L4,https://glvcsports.com/images/logos/site/site.png?width=600,NA,59,53.8,57.1
Indiana (PA),Indiana (PA),PSAC,West,Yes,Yes,https://iupathletics.com/sports/baseball/schedule/2025,https://iupathletics.com/sports/baseball/roster/2025,https://iupathletics.com/sports/baseball,https://iupathletics.com,2025-01-03T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,https://iupathletics.com/images/logos/site/site.png?width=600,#9e1b32,41-18,0.695,L1,21-9,0.7,W2,https://psacsports.org/images/logos/site/site.png?width=600,Atlantic Region Champions; CWS Appearance,53.7,74.9,62
Jefferson,Jefferson,CACC,South,Yes,Yes,http://www.jeffersonrams.com/sports/baseball/schedule/2025,http://www.jeffersonrams.com/sports/baseball/roster/2025,http://www.jeffersonrams.com/sports/baseball,http://www.jeffersonrams.com,2025-01-21T00:00:00Z,2024-11-04T00:00:00Z,Sidearm,1,0,0,0,http://www.jeffersonrams.com/images/logos/site/site.png?width=600,#152456,33-17,0.66,L2,18-6,0.75,L1,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,CACC South Regular Season Champions; East Regional Appearance,54.2,54.1,54.2
